"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"            Under $25,000","4,087","±709","3,425","±591","83.8%","±6.5","662","±312","16.2%","±6.5"
"            $25,000 to $49,999","3,601","±638","3,218","±565","89.4%","±4.3","383","±180","10.6%","±4.3"
"            $50,000 to $74,999","4,563","±736","4,254","±720","93.2%","±2.9","309","±131","6.8%","±2.9"
"            $75,000 to $99,999","4,524","±805","3,933","±721","86.9%","±6.4","591","±316","13.1%","±6.4"
"            $100,000 and over","28,410","±1,174","28,003","±1,164","98.6%","±0.7","407","±210","1.4%","±0.7"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","45,219","±419","42,872","±600","94.8%","±1.1","2,347","±508","5.2%","±1.1"
"            Below 138 percent of the poverty threshold","4,543","±798","3,768","±660","82.9%","±6.0","775","±328","17.1%","±6.0"
"            138 to 399 percent of the poverty threshold","9,716","±1,074","8,588","±1,017","88.4%","±3.6","1,128","±365","11.6%","±3.6"
"            At or above 400 percent of the poverty threshold","30,960","±1,132","30,516","±1,143","98.6%","±0.7","444","±207","1.4%","±0.7"
"            Below 100 percent of the poverty threshold","3,527","±700","2,879","±584","81.6%","±7.3","648","±303","18.4%","±7.3"
