"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"Civilian noninstitutionalized population","49,882","±73","47,038","±503","94.3%","±1.0","2,844","±508","5.7%","±1.0"
"    AGE","","","","","","","","","",""
"        Under 6 years","3,041","±692","2,982","±658","98.1%","±2.8","59","±90","1.9%","±2.8"
"        6 to 18 years","8,573","±668","8,153","±668","95.1%","±2.1","420","±177","4.9%","±2.1"
"        19 to 25 years","6,590","±731","5,900","±722","89.5%","±2.9","690","±184","10.5%","±2.9"
"        26 to 34 years","4,606","±591","4,287","±582","93.1%","±3.0","319","±137","6.9%","±3.0"
"        35 to 44 years","5,236","±516","4,681","±487","89.4%","±4.3","555","±240","10.6%","±4.3"
"        45 to 54 years","6,674","±677","6,222","±658","93.2%","±2.6","452","±180","6.8%","±2.6"
"        55 to 64 years","5,754","±600","5,456","±569","94.8%","±2.1","298","±126","5.2%","±2.1"
"        65 to 74 years","4,931","±641","4,891","±647","99.2%","±0.8","40","±39","0.8%","±0.8"
"        75 years and older","4,477","±604","4,466","±606","99.8%","±0.4","11","±17","0.2%","±0.4"
"        Under 19 years","11,614","±779","11,135","±758","95.9%","±1.6","479","±187","4.1%","±1.6"
"        19 to 64 years","28,860","±961","26,546","±996","92.0%","±1.4","2,314","±402","8.0%","±1.4"
"        65 years and older","9,408","±865","9,357","±870","99.5%","±0.5","51","±42","0.5%","±0.5"
"    SEX","","","","","","","","","",""
"        Male","22,696","±797","21,524","±820","94.8%","±1.3","1,172","±290","5.2%","±1.3"
"        Female","27,186","±803","25,514","±882","93.8%","±1.4","1,672","±390","6.2%","±1.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        White alone","40,768","±1,015","38,409","±1,067","94.2%","±1.1","2,359","±464","5.8%","±1.1"
"        Black or African American alone","1,725","±553","1,560","±533","90.4%","±5.7","165","±93","9.6%","±5.7"
"        American Indian and Alaska Native alone","4","±7","4","±7","100.0%","±100.0","0","±30","0.0%","±100.0"
"        Asian alone","1,558","±394","1,479","±401","94.9%","±4.4","79","±64","5.1%","±4.4"
"        Native Hawaiian and Other Pacific Islander alone","0","±30","0","±30","-","**","0","±30","-","**"
"        Some other race alone","328","±130","310","±125","94.5%","±8.3","18","±27","5.5%","±8.3"
"        Two or more races","5,499","±929","5,276","±896","95.9%","±2.6","223","±151","4.1%","±2.6"
"        Hispanic or Latino (of any race)","29,124","±1,289","27,313","±1,256","93.8%","±1.6","1,811","±476","6.2%","±1.6"
"        White alone, not Hispanic or Latino","17,071","±1,225","16,366","±1,182","95.9%","±1.1","705","±198","4.1%","±1.1"
"    LIVING ARRANGEMENTS","","","","","","","","","",""
"        In family households","36,241","±888","34,526","±931","95.3%","±1.2","1,715","±455","4.7%","±1.2"
"            In married couple families","29,655","±1,193","28,748","±1,150","96.9%","±1.1","907","±348","3.1%","±1.1"
"            In other families","6,586","±974","5,778","±885","87.7%","±4.9","808","±351","12.3%","±4.9"
"                Male reference person, no spouse present","1,147","±406","1,020","±364","88.9%","±8.2","127","±106","11.1%","±8.2"
"                Female reference person, no spouse present","5,439","±968","4,758","±897","87.5%","±5.2","681","±307","12.5%","±5.2"
"        In non-family households and other living arrangements","13,641","±899","12,512","±864","91.7%","±1.8","1,129","±260","8.3%","±1.8"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","",""
"        Native born","30,018","±1,187","28,789","±1,106","95.9%","±1.1","1,229","±354","4.1%","±1.1"
"        Foreign born","19,864","±1,187","18,249","±1,187","91.9%","±2.1","1,615","±427","8.1%","±2.1"
"            Naturalized","12,516","±992","11,971","±992","95.6%","±1.9","545","±236","4.4%","±1.9"
"            Not a citizen","7,348","±954","6,278","±890","85.4%","±3.9","1,070","±304","14.6%","±3.9"
"    DISABILITY STATUS","","","","","","","","","",""
"        With a disability","3,991","±522","3,881","±513","97.2%","±1.6","110","±66","2.8%","±1.6"
"        No disability","45,891","±533","43,157","±723","94.0%","±1.1","2,734","±507","6.0%","±1.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","31,678","±807","30,003","±853","94.7%","±1.1","1,675","±355","5.3%","±1.1"
"            Less than high school graduate","1,019","±239","981","±234","96.3%","±3.1","38","±32","3.7%","±3.1"
"            High school graduate (includes equivalency)","3,409","±553","2,837","±486","83.2%","±5.6","572","±216","16.8%","±5.6"
"            Some college or associate's degree","5,375","±612","4,883","±555","90.8%","±4.4","492","±258","9.2%","±4.4"
"            Bachelor's degree or higher","21,875","±912","21,302","±896","97.4%","±0.8","573","±169","2.6%","±0.8"
"    EMPLOYMENT STATUS","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","28,860","±961","26,546","±996","92.0%","±1.4","2,314","±402","8.0%","±1.4"
"            In labor force","21,282","±902","19,812","±934","93.1%","±1.5","1,470","±316","6.9%","±1.5"
"                Employed","20,595","±914","19,242","±961","93.4%","±1.5","1,353","±298","6.6%","±1.5"
"                Unemployed","687","±194","570","±153","83.0%","±11.4","117","±95","17.0%","±11.4"
"            Not in labor force","7,578","±767","6,734","±731","88.9%","±2.8","844","±222","11.1%","±2.8"
"    WORK EXPERIENCE","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","28,860","±961","26,546","±996","92.0%","±1.4","2,314","±402","8.0%","±1.4"
"            Worked full-time, year round in the past 12 months","15,512","±782","14,679","±811","94.6%","±1.7","833","±258","5.4%","±1.7"
"            Worked less than full-time, year round in the past 12 months","6,555","±542","5,914","±530","90.2%","±2.4","641","±163","9.8%","±2.4"
"            Did not work","6,793","±775","5,953","±730","87.6%","±3.4","840","±240","12.4%","±3.4"
"    HOUSEHOLD INCOME (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"        Total household population","45,185","±414","42,833","±601","94.8%","±1.1","2,352","±502","5.2%","±1.1"
