"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"Civilian noninstitutionalized population","49,196","±104","46,809","±452","95.1%","±0.9","2,387","±443","4.9%","±0.9"
"    AGE","","","","","","","","","",""
"        Under 6 years","3,257","±534","3,213","±526","98.6%","±1.9","44","±61","1.4%","±1.9"
"        6 to 18 years","7,917","±726","7,615","±732","96.2%","±1.6","302","±128","3.8%","±1.6"
"        19 to 25 years","6,289","±736","5,604","±713","89.1%","±3.2","685","±204","10.9%","±3.2"
"        26 to 34 years","4,613","±649","4,337","±606","94.0%","±2.4","276","±123","6.0%","±2.4"
"        35 to 44 years","5,434","±493","5,017","±467","92.3%","±3.8","417","±218","7.7%","±3.8"
"        45 to 54 years","6,313","±676","6,014","±662","95.3%","±1.7","299","±111","4.7%","±1.7"
"        55 to 64 years","5,863","±624","5,531","±599","94.3%","±2.4","332","±150","5.7%","±2.4"
"        65 to 74 years","5,061","±613","5,037","±617","99.5%","±0.6","24","±28","0.5%","±0.6"
"        75 years and older","4,449","±566","4,441","±567","99.8%","±0.3","8","±12","0.2%","±0.3"
"        Under 19 years","11,174","±726","10,828","±752","96.9%","±1.3","346","±144","3.1%","±1.3"
"        19 to 64 years","28,512","±757","26,503","±816","93.0%","±1.3","2,009","±369","7.0%","±1.3"
"        65 years and older","9,510","±768","9,478","±775","99.7%","±0.3","32","±31","0.3%","±0.3"
"    SEX","","","","","","","","","",""
"        Male","22,765","±707","21,653","±697","95.1%","±1.1","1,112","±252","4.9%","±1.1"
"        Female","26,431","±703","25,156","±745","95.2%","±1.1","1,275","±297","4.8%","±1.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        White alone","35,512","±1,165","33,806","±1,221","95.2%","±1.1","1,706","±404","4.8%","±1.1"
"        Black or African American alone","1,774","±504","1,499","±461","84.5%","±6.5","275","±130","15.5%","±6.5"
"        American Indian and Alaska Native alone","10","±21","10","±21","100.0%","±100.0","0","±30","0.0%","±100.0"
"        Asian alone","1,568","±400","1,529","±403","97.5%","±2.5","39","±38","2.5%","±2.5"
"        Native Hawaiian and Other Pacific Islander alone","0","±30","0","±30","-","**","0","±30","-","**"
"        Some other race alone","957","±407","916","±394","95.7%","±4.2","41","±42","4.3%","±4.2"
"        Two or more races","9,375","±1,054","9,049","±1,043","96.5%","±1.7","326","±159","3.5%","±1.7"
"        Hispanic or Latino (of any race)","28,106","±1,076","26,718","±1,114","95.1%","±1.5","1,388","±412","4.9%","±1.5"
"        White alone, not Hispanic or Latino","16,789","±1,137","16,162","±1,143","96.3%","±1.1","627","±178","3.7%","±1.1"
"    LIVING ARRANGEMENTS","","","","","","","","","",""
"        In family households","36,028","±1,009","34,655","±1,116","96.2%","±1.1","1,373","±387","3.8%","±1.1"
"            In married couple families","29,753","±1,287","28,958","±1,274","97.3%","±1.1","795","±319","2.7%","±1.1"
"            In other families","6,275","±1,008","5,697","±964","90.8%","±3.7","578","±242","9.2%","±3.7"
"                Male reference person, no spouse present","1,765","±617","1,628","±565","92.2%","±5.5","137","±113","7.8%","±5.5"
"                Female reference person, no spouse present","4,510","±867","4,069","±812","90.2%","±4.3","441","±210","9.8%","±4.3"
