"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"        In non-family households and other living arrangements","13,168","±998","12,154","±948","92.3%","±1.9","1,014","±261","7.7%","±1.9"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","",""
"        Native born","30,095","±957","28,938","±959","96.2%","±0.9","1,157","±272","3.8%","±0.9"
"        Foreign born","19,101","±959","17,871","±940","93.6%","±1.8","1,230","±344","6.4%","±1.8"
"            Naturalized","12,887","±766","12,467","±727","96.7%","±1.7","420","±226","3.3%","±1.7"
"            Not a citizen","6,214","±791","5,404","±775","87.0%","±3.6","810","±217","13.0%","±3.6"
"    DISABILITY STATUS","","","","","","","","","",""
"        With a disability","3,944","±593","3,860","±589","97.9%","±1.4","84","±54","2.1%","±1.4"
"        No disability","45,252","±622","42,949","±780","94.9%","±1.0","2,303","±446","5.1%","±1.0"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","31,733","±837","30,377","±810","95.7%","±1.0","1,356","±311","4.3%","±1.0"
"            Less than high school graduate","890","±203","865","±201","97.2%","±2.3","25","±20","2.8%","±2.3"
"            High school graduate (includes equivalency)","3,084","±413","2,700","±390","87.5%","±4.6","384","±148","12.5%","±4.6"
"            Some college or associate's degree","5,047","±611","4,550","±563","90.2%","±4.5","497","±246","9.8%","±4.5"
"            Bachelor's degree or higher","22,712","±908","22,262","±893","98.0%","±0.6","450","±136","2.0%","±0.6"
"    EMPLOYMENT STATUS","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","28,512","±757","26,503","±816","93.0%","±1.3","2,009","±369","7.0%","±1.3"
"            In labor force","20,927","±853","19,686","±860","94.1%","±1.4","1,241","±294","5.9%","±1.4"
"                Employed","20,089","±860","18,985","±869","94.5%","±1.4","1,104","±282","5.5%","±1.4"
"                Unemployed","838","±156","701","±141","83.7%","±9.1","137","±84","16.3%","±9.1"
"            Not in labor force","7,585","±725","6,817","±716","89.9%","±2.6","768","±197","10.1%","±2.6"
"    WORK EXPERIENCE","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","28,512","±757","26,503","±816","93.0%","±1.3","2,009","±369","7.0%","±1.3"
"            Worked full-time, year round in the past 12 months","15,782","±829","15,148","±852","96.0%","±1.7","634","±262","4.0%","±1.7"
"            Worked less than full-time, year round in the past 12 months","5,888","±508","5,244","±501","89.1%","±2.7","644","±163","10.9%","±2.7"
"            Did not work","6,842","±665","6,111","±672","89.3%","±2.6","731","±171","10.7%","±2.6"
"    HOUSEHOLD INCOME (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"        Total household population","44,499","±531","42,715","±666","96.0%","±1.0","1,784","±446","4.0%","±1.0"
"            Under $25,000","3,852","±712","3,484","±657","90.4%","±5.1","368","±213","9.6%","±5.1"
"            $25,000 to $49,999","3,814","±730","3,519","±667","92.3%","±3.8","295","±166","7.7%","±3.8"
"            $50,000 to $74,999","3,938","±703","3,730","±671","94.7%","±2.9","208","±119","5.3%","±2.9"
"            $75,000 to $99,999","3,890","±705","3,421","±615","87.9%","±6.3","469","±277","12.1%","±6.3"
"            $100,000 and over","29,005","±1,281","28,561","±1,271","98.5%","±0.6","444","±190","1.5%","±0.6"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","44,550","±532","42,751","±669","96.0%","±1.0","1,799","±441","4.0%","±1.0"
"            Below 138 percent of the poverty threshold","4,429","±756","3,895","±700","87.9%","±4.5","534","±212","12.1%","±4.5"
"            138 to 399 percent of the poverty threshold","9,458","±1,069","8,570","±992","90.6%","±3.4","888","±345","9.4%","±3.4"
"            At or above 400 percent of the poverty threshold","30,663","±1,193","30,286","±1,182","98.8%","±0.5","377","±148","1.2%","±0.5"
"            Below 100 percent of the poverty threshold","3,349","±642","2,918","±612","87.1%","±5.6","431","±192","12.9%","±5.6"
