"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"        Two or more races","13,582","±1,218","12,876","±1,294","94.8%","±2.6","706","±345","5.2%","±2.6"
"        Hispanic or Latino (of any race)","28,549","±1,069","26,787","±1,050","93.8%","±1.6","1,762","±468","6.2%","±1.6"
"        White alone, not Hispanic or Latino","16,366","±1,072","15,777","±1,052","96.4%","±1.3","589","±218","3.6%","±1.3"
"    LIVING ARRANGEMENTS","","","","","","","","","",""
"        In family households","34,319","±1,003","32,740","±992","95.4%","±1.2","1,579","±425","4.6%","±1.2"
"            In married couple families","28,353","±1,308","27,575","±1,256","97.3%","±1.0","778","±294","2.7%","±1.0"
"            In other families","5,966","±967","5,165","±895","86.6%","±4.7","801","±299","13.4%","±4.7"
"                Male reference person, no spouse present","2,097","±706","1,654","±541","78.9%","±11.9","443","±324","21.1%","±11.9"
"                Female reference person, no spouse present","3,869","±905","3,511","±848","90.7%","±4.3","358","±184","9.3%","±4.3"
"        In non-family households and other living arrangements","15,263","±987","14,131","±964","92.6%","±2.2","1,132","±350","7.4%","±2.2"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","",""
"        Native born","30,261","±1,067","28,888","±1,123","95.5%","±1.1","1,373","±329","4.5%","±1.1"
"        Foreign born","19,321","±1,070","17,983","±1,029","93.1%","±2.1","1,338","±418","6.9%","±2.1"
"            Naturalized","13,239","±841","12,778","±861","96.5%","±1.4","461","±183","3.5%","±1.4"
"            Not a citizen","6,082","±880","5,205","±754","85.6%","±4.6","877","±327","14.4%","±4.6"
"    DISABILITY STATUS","","","","","","","","","",""
"        With a disability","3,940","±547","3,865","±542","98.1%","±1.2","75","±49","1.9%","±1.2"
"        No disability","45,642","±566","43,006","±759","94.2%","±1.1","2,636","±518","5.8%","±1.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","31,628","±817","30,123","±853","95.2%","±1.2","1,505","±378","4.8%","±1.2"
"            Less than high school graduate","933","±206","904","±205","96.9%","±2.6","29","±24","3.1%","±2.6"
"            High school graduate (includes equivalency)","3,141","±447","2,724","±454","86.7%","±5.7","417","±180","13.3%","±5.7"
"            Some college or associate's degree","5,328","±679","4,873","±626","91.5%","±3.1","455","±183","8.5%","±3.1"
"            Bachelor's degree or higher","22,226","±785","21,622","±801","97.3%","±0.9","604","±209","2.7%","±0.9"
"    EMPLOYMENT STATUS","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","29,389","±971","27,059","±1,056","92.1%","±1.5","2,330","±452","7.9%","±1.5"
"            In labor force","21,219","±825","19,862","±838","93.6%","±1.6","1,357","±351","6.4%","±1.6"
"                Employed","20,234","±808","19,055","±812","94.2%","±1.5","1,179","±301","5.8%","±1.5"
"                Unemployed","985","±277","807","±295","81.9%","±12.4","178","±111","18.1%","±12.4"
"            Not in labor force","8,170","±794","7,197","±757","88.1%","±3.9","973","±335","11.9%","±3.9"
"    WORK EXPERIENCE","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","29,389","±971","27,059","±1,056","92.1%","±1.5","2,330","±452","7.9%","±1.5"
"            Worked full-time, year round in the past 12 months","15,834","±804","15,099","±795","95.4%","±1.5","735","±240","4.6%","±1.5"
"            Worked less than full-time, year round in the past 12 months","6,099","±505","5,505","±526","90.3%","±3.0","594","±182","9.7%","±3.0"
"            Did not work","7,456","±704","6,455","±708","86.6%","±4.1","1,001","±314","13.4%","±4.1"
"    HOUSEHOLD INCOME (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"        Total household population","43,520","±383","41,381","±581","95.1%","±1.1","2,139","±492","4.9%","±1.1"
"            Under $25,000","4,443","±811","3,807","±771","85.7%","±7.4","636","±342","14.3%","±7.4"
"            $25,000 to $49,999","3,479","±591","3,163","±560","90.9%","±3.6","316","±134","9.1%","±3.6"
"            $50,000 to $74,999","3,086","±598","2,772","±559","89.8%","±5.2","314","±170","10.2%","±5.2"
"            $75,000 to $99,999","3,742","±687","3,511","±668","93.8%","±3.3","231","±126","6.2%","±3.3"
"            $100,000 and over","28,770","±1,268","28,128","±1,255","97.8%","±0.9","642","±255","2.2%","±0.9"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","43,578","±381","41,432","±580","95.1%","±1.1","2,146","±491","4.9%","±1.1"
"            Below 138 percent of the poverty threshold","5,222","±946","4,371","±867","83.7%","±6.0","851","±343","16.3%","±6.0"
"            138 to 399 percent of the poverty threshold","8,814","±977","7,889","±872","89.5%","±3.7","925","±360","10.5%","±3.7"
"            At or above 400 percent of the poverty threshold","29,542","±1,069","29,172","±1,101","98.7%","±0.5","370","±142","1.3%","±0.5"
"            Below 100 percent of the poverty threshold","4,160","±847","3,452","±781","83.0%","±7.0","708","±313","17.0%","±7.0"
