"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"Civilian noninstitutionalized population","49,582","±84","46,871","±524","94.5%","±1.0","2,711","±520","5.5%","±1.0"
"    AGE","","","","","","","","","",""
"        Under 6 years","3,050","±538","2,961","±522","97.1%","±3.1","89","±97","2.9%","±3.1"
"        6 to 18 years","7,541","±663","7,262","±648","96.3%","±1.6","279","±124","3.7%","±1.6"
"        19 to 25 years","7,363","±790","6,525","±782","88.6%","±3.7","838","±273","11.4%","±3.7"
"        26 to 34 years","4,791","±606","4,468","±586","93.3%","±2.4","323","±116","6.7%","±2.4"
"        35 to 44 years","5,013","±468","4,601","±458","91.8%","±3.6","412","±185","8.2%","±3.6"
"        45 to 54 years","6,195","±580","5,945","±573","96.0%","±1.9","250","±119","4.0%","±1.9"
"        55 to 64 years","6,027","±685","5,520","±638","91.6%","±3.9","507","±254","8.4%","±3.9"
"        65 to 74 years","4,915","±571","4,910","±570","99.9%","±0.2","5","±8","0.1%","±0.2"
"        75 years and older","4,687","±538","4,679","±538","99.8%","±0.3","8","±12","0.2%","±0.3"
"        Under 19 years","10,591","±811","10,223","±810","96.5%","±1.5","368","±165","3.5%","±1.5"
"        19 to 64 years","29,389","±971","27,059","±1,056","92.1%","±1.5","2,330","±452","7.9%","±1.5"
"        65 years and older","9,602","±836","9,589","±836","99.9%","±0.2","13","±15","0.1%","±0.2"
"    SEX","","","","","","","","","",""
"        Male","23,102","±796","21,727","±742","94.0%","±1.4","1,375","±345","6.0%","±1.4"
"        Female","26,480","±777","25,144","±860","95.0%","±1.3","1,336","±328","5.0%","±1.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        White alone","30,783","±1,373","29,202","±1,290","94.9%","±1.2","1,581","±397","5.1%","±1.2"
"        Black or African American alone","1,978","±566","1,681","±538","85.0%","±8.2","297","±170","15.0%","±8.2"
"        American Indian and Alaska Native alone","11","±22","11","±22","100.0%","±100.0","0","±31","0.0%","±100.0"
"        Asian alone","1,785","±466","1,748","±458","97.9%","±2.4","37","±44","2.1%","±2.4"
"        Native Hawaiian and Other Pacific Islander alone","0","±31","0","±31","-","**","0","±31","-","**"
"        Some other race alone","1,443","±407","1,353","±379","93.8%","±4.0","90","±65","6.2%","±4.0"
