"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"        Some other race alone","1,923","±404","1,789","±393","93.0%","±3.0","134","±59","7.0%","±3.0"
"        Two or more races","17,287","±1,268","16,445","±1,196","95.1%","±2.0","842","±368","4.9%","±2.0"
"        Hispanic or Latino (of any race)","27,680","±1,170","26,184","±1,238","94.6%","±1.5","1,496","±424","5.4%","±1.5"
"        White alone, not Hispanic or Latino","16,333","±1,132","15,737","±1,105","96.4%","±1.1","596","±188","3.6%","±1.1"
"    LIVING ARRANGEMENTS","","","","","","","","","",""
"        In family households","33,814","±976","32,466","±1,052","96.0%","±1.2","1,348","±390","4.0%","±1.2"
"            In married couple families","27,864","±1,241","27,280","±1,247","97.9%","±0.8","584","±215","2.1%","±0.8"
"            In other families","5,950","±1,048","5,186","±958","87.2%","±5.3","764","±345","12.8%","±5.3"
"                Male reference person, no spouse present","2,299","±753","1,866","±621","81.2%","±12.1","433","±333","18.8%","±12.1"
"                Female reference person, no spouse present","3,651","±869","3,320","±815","90.9%","±3.8","331","±154","9.1%","±3.8"
"        In non-family households and other living arrangements","15,293","±970","14,254","±979","93.2%","±1.5","1,039","±228","6.8%","±1.5"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","",""
"        Native born","30,210","±1,042","28,876","±1,034","95.6%","±0.8","1,334","±259","4.4%","±0.8"
"        Foreign born","18,897","±1,039","17,844","±1,023","94.4%","±2.0","1,053","±390","5.6%","±2.0"
"            Naturalized","12,607","±942","12,218","±949","96.9%","±1.2","389","±144","3.1%","±1.2"
"            Not a citizen","6,290","±781","5,626","±707","89.4%","±5.2","664","±350","10.6%","±5.2"
"    DISABILITY STATUS","","","","","","","","","",""
"        With a disability","3,851","±537","3,751","±536","97.4%","±1.6","100","±60","2.6%","±1.6"
"        No disability","45,256","±550","42,969","±677","94.9%","±1.0","2,287","±436","5.1%","±1.0"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","31,479","±857","30,096","±852","95.6%","±1.0","1,383","±320","4.4%","±1.0"
"            Less than high school graduate","872","±216","795","±213","91.2%","±4.8","77","±40","8.8%","±4.8"
"            High school graduate (includes equivalency)","2,943","±481","2,546","±433","86.5%","±4.9","397","±161","13.5%","±4.9"
"            Some college or associate's degree","4,999","±626","4,774","±610","95.5%","±1.9","225","±100","4.5%","±1.9"
"            Bachelor's degree or higher","22,665","±861","21,981","±870","97.0%","±1.0","684","±231","3.0%","±1.0"
"    EMPLOYMENT STATUS","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","28,439","±1,077","26,402","±1,097","92.8%","±1.4","2,037","±415","7.2%","±1.4"
"            In labor force","20,562","±859","19,354","±804","94.1%","±1.4","1,208","±305","5.9%","±1.4"
"                Employed","19,878","±810","18,828","±757","94.7%","±1.3","1,050","±275","5.3%","±1.3"
"                Unemployed","684","±191","526","±172","76.9%","±12.2","158","±94","23.1%","±12.2"
"            Not in labor force","7,877","±938","7,048","±921","89.5%","±4.1","829","±330","10.5%","±4.1"
"    WORK EXPERIENCE","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","28,439","±1,077","26,402","±1,097","92.8%","±1.4","2,037","±415","7.2%","±1.4"
"            Worked full-time, year round in the past 12 months","15,404","±812","14,783","±770","96.0%","±1.3","621","±213","4.0%","±1.3"
"            Worked less than full-time, year round in the past 12 months","6,250","±608","5,689","±608","91.0%","±2.6","561","±158","9.0%","±2.6"
"            Did not work","6,785","±840","5,930","±800","87.4%","±4.7","855","±335","12.6%","±4.7"
"    HOUSEHOLD INCOME (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"        Total household population","43,174","±345","41,382","±542","95.8%","±1.0","1,792","±432","4.2%","±1.0"
"            Under $25,000","4,012","±783","3,569","±765","89.0%","±7.8","443","±326","11.0%","±7.8"
"            $25,000 to $49,999","3,375","±741","3,028","±649","89.7%","±3.5","347","±156","10.3%","±3.5"
"            $50,000 to $74,999","2,610","±495","2,394","±480","91.7%","±4.5","216","±122","8.3%","±4.5"
"            $75,000 to $99,999","3,242","±645","2,986","±570","92.1%","±3.2","256","±126","7.9%","±3.2"
"            $100,000 and over","29,935","±1,301","29,405","±1,330","98.2%","±0.8","530","±241","1.8%","±0.8"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","43,190","±351","41,386","±546","95.8%","±1.0","1,804","±429","4.2%","±1.0"
"            Below 138 percent of the poverty threshold","5,227","±861","4,551","±840","87.1%","±6.2","676","±333","12.9%","±6.2"
"            138 to 399 percent of the poverty threshold","7,519","±855","6,804","±744","90.5%","±2.6","715","±234","9.5%","±2.6"
"            At or above 400 percent of the poverty threshold","30,444","±1,207","30,031","±1,233","98.6%","±0.6","413","±176","1.4%","±0.6"
"            Below 100 percent of the poverty threshold","3,953","±734","3,462","±706","87.6%","±7.7","491","±318","12.4%","±7.7"
