"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"Civilian noninstitutionalized population","49,107","±79","46,720","±454","95.1%","±0.9","2,387","±441","4.9%","±0.9"
"    AGE","","","","","","","","","",""
"        Under 6 years","3,503","±601","3,453","±599","98.6%","±1.6","50","±54","1.4%","±1.6"
"        6 to 18 years","7,723","±742","7,436","±706","96.3%","±1.4","287","±119","3.7%","±1.4"
"        19 to 25 years","6,402","±815","5,735","±805","89.6%","±3.3","667","±207","10.4%","±3.3"
"        26 to 34 years","4,901","±721","4,622","±730","94.3%","±2.3","279","±103","5.7%","±2.3"
"        35 to 44 years","4,931","±461","4,587","±440","93.0%","±2.6","344","±134","7.0%","±2.6"
"        45 to 54 years","6,031","±637","5,800","±619","96.2%","±1.6","231","±102","3.8%","±1.6"
"        55 to 64 years","6,174","±661","5,658","±648","91.6%","±3.9","516","±247","8.4%","±3.9"
"        65 to 74 years","4,830","±534","4,825","±534","99.9%","±0.2","5","±7","0.1%","±0.2"
"        75 years and older","4,612","±569","4,604","±570","99.8%","±0.3","8","±12","0.2%","±0.3"
"        Under 19 years","11,226","±914","10,889","±871","97.0%","±1.1","337","±134","3.0%","±1.1"
"        19 to 64 years","28,439","±1,077","26,402","±1,097","92.8%","±1.4","2,037","±415","7.2%","±1.4"
"        65 years and older","9,442","±790","9,429","±791","99.9%","±0.2","13","±14","0.1%","±0.2"
"    SEX","","","","","","","","","",""
"        Male","22,500","±834","21,367","±802","95.0%","±1.5","1,133","±355","5.0%","±1.5"
"        Female","26,607","±820","25,353","±884","95.3%","±1.1","1,254","±274","4.7%","±1.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        White alone","26,286","±1,280","25,111","±1,239","95.5%","±1.1","1,175","±285","4.5%","±1.1"
"        Black or African American alone","1,836","±583","1,635","±552","89.1%","±5.1","201","±100","10.9%","±5.1"
"        American Indian and Alaska Native alone","11","±22","11","±22","100.0%","±100.0","0","±31","0.0%","±100.0"
"        Asian alone","1,764","±436","1,729","±428","98.0%","±2.1","35","±39","2.0%","±2.1"
"        Native Hawaiian and Other Pacific Islander alone","0","±31","0","±31","-","**","0","±31","-","**"
