"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"Civilian noninstitutionalized population","50,195","±69","47,062","±486","93.8%","±1.0","3,133","±480","6.2%","±1.0"
"    AGE","","","","","","","","","",""
"        Under 6 years","2,800","±464","2,733","±451","97.6%","±2.1","67","±60","2.4%","±2.1"
"        6 to 18 years","8,558","±680","8,213","±639","96.0%","±1.5","345","±136","4.0%","±1.5"
"        19 to 25 years","6,367","±557","5,763","±541","90.5%","±3.1","604","±205","9.5%","±3.1"
"        26 to 34 years","4,896","±464","4,422","±430","90.3%","±3.6","474","±191","9.7%","±3.6"
"        35 to 44 years","5,615","±517","4,992","±420","88.9%","±4.2","623","±261","11.1%","±4.2"
"        45 to 54 years","7,166","±554","6,603","±501","92.1%","±3.1","563","±238","7.9%","±3.1"
"        55 to 64 years","5,739","±533","5,434","±518","94.7%","±2.2","305","±129","5.3%","±2.2"
"        65 to 74 years","4,737","±443","4,585","±429","96.8%","±2.0","152","±98","3.2%","±2.0"
"        75 years and older","4,317","±488","4,317","±488","100.0%","±1.0","0","±32","0.0%","±1.0"
"        Under 19 years","11,358","±787","10,946","±732","96.4%","±1.2","412","±148","3.6%","±1.2"
"        19 to 64 years","29,783","±675","27,214","±720","91.4%","±1.4","2,569","±424","8.6%","±1.4"
"        65 years and older","9,054","±648","8,902","±642","98.3%","±1.1","152","±98","1.7%","±1.1"
"    SEX","","","","","","","","","",""
"        Male","23,914","±556","22,553","±569","94.3%","±1.2","1,361","±285","5.7%","±1.2"
"        Female","26,281","±552","24,509","±639","93.3%","±1.3","1,772","±351","6.7%","±1.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        White alone","46,122","±525","43,414","±656","94.1%","±1.0","2,708","±440","5.9%","±1.0"
"        Black or African American alone","1,539","±380","1,309","±368","85.1%","±9.9","230","±159","14.9%","±9.9"
"        American Indian and Alaska Native alone","20","±20","20","±20","100.0%","±75.8","0","±32","0.0%","±75.8"
"        Asian alone","1,227","±254","1,161","±240","94.6%","±4.6","66","±60","5.4%","±4.6"
"        Native Hawaiian and Other Pacific Islander alone","0","±32","0","±32","-","**","0","±32","-","**"
"        Some other race alone","303","±128","266","±120","87.8%","±13.0","37","±42","12.2%","±13.0"
"        Two or more races","984","±279","892","±252","90.7%","±8.7","92","±93","9.3%","±8.7"
"        Hispanic or Latino (of any race)","30,273","±963","28,220","±904","93.2%","±1.3","2,053","±421","6.8%","±1.3"
"        White alone, not Hispanic or Latino","16,820","±954","16,117","±931","95.8%","±1.1","703","±185","4.2%","±1.1"
"    LIVING ARRANGEMENTS","","","","","","","","","",""
"        In family households","36,956","±688","35,036","±717","94.8%","±1.2","1,920","±437","5.2%","±1.2"
"            In married couple families","30,158","±1,303","29,120","±1,309","96.6%","±1.1","1,038","±347","3.4%","±1.1"
"            In other families","6,798","±1,252","5,916","±1,064","87.0%","±4.5","882","±371","13.0%","±4.5"
"                Male reference person, no spouse present","1,040","±415","957","±403","92.0%","±7.5","83","±78","8.0%","±7.5"
"                Female reference person, no spouse present","5,758","±1,127","4,959","±946","86.1%","±4.9","799","±352","13.9%","±4.9"
"        In non-family households and other living arrangements","13,239","±683","12,026","±656","90.8%","±1.9","1,213","±263","9.2%","±1.9"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","",""
"        Native born","30,374","±1,007","29,008","±990","95.5%","±1.1","1,366","±337","4.5%","±1.1"
"        Foreign born","19,821","±1,013","18,054","±1,052","91.1%","±2.2","1,767","±434","8.9%","±2.2"
"            Naturalized","13,021","±897","12,394","±914","95.2%","±1.9","627","±241","4.8%","±1.9"
"            Not a citizen","6,800","±910","5,660","±911","83.2%","±4.9","1,140","±312","16.8%","±4.9"
"    DISABILITY STATUS","","","","","","","","","",""
"        With a disability","3,932","±531","3,830","±525","97.4%","±1.8","102","±70","2.6%","±1.8"
"        No disability","46,263","±538","43,232","±665","93.4%","±1.0","3,031","±476","6.6%","±1.0"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","32,470","±919","30,353","±916","93.5%","±1.2","2,117","±402","6.5%","±1.2"
"            Less than high school graduate","1,246","±283","1,200","±284","96.3%","±3.3","46","±40","3.7%","±3.3"
"            High school graduate (includes equivalency)","3,750","±574","2,957","±482","78.9%","±6.3","793","±275","21.1%","±6.3"
"            Some college or associate's degree","5,755","±486","5,203","±509","90.4%","±3.7","552","±216","9.6%","±3.7"
"            Bachelor's degree or higher","21,719","±871","20,993","±818","96.7%","±0.9","726","±204","3.3%","±0.9"
"    EMPLOYMENT STATUS","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","29,783","±675","27,214","±720","91.4%","±1.4","2,569","±424","8.6%","±1.4"
"            In labor force","22,529","±692","20,821","±734","92.4%","±1.5","1,708","±339","7.6%","±1.5"
"                Employed","21,859","±724","20,232","±774","92.6%","±1.5","1,627","±336","7.4%","±1.5"
"                Unemployed","670","±177","589","±155","87.9%","±9.3","81","±70","12.1%","±9.3"
"            Not in labor force","7,254","±507","6,393","±510","88.1%","±2.9","861","±210","11.9%","±2.9"
"    WORK EXPERIENCE","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","29,783","±675","27,214","±720","91.4%","±1.4","2,569","±424","8.6%","±1.4"
"            Worked full-time, year round in the past 12 months","16,362","±796","15,307","±766","93.6%","±1.7","1,055","±286","6.4%","±1.7"
"            Worked less than full-time, year round in the past 12 months","7,128","±558","6,420","±536","90.1%","±2.8","708","±208","9.9%","±2.8"
"            Did not work","6,293","±502","5,487","±505","87.2%","±3.5","806","±221","12.8%","±3.5"
"    HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"        Total household population","45,406","±375","42,668","±555","94.0%","±1.0","2,738","±471","6.0%","±1.0"
"            Under $25,000","3,687","±551","2,910","±501","78.9%","±6.1","777","±247","21.1%","±6.1"
"            $25,000 to $49,999","3,881","±609","3,491","±545","90.0%","±3.9","390","±172","10.0%","±3.9"
"            $50,000 to $74,999","5,082","±700","4,687","±628","92.2%","±4.0","395","±219","7.8%","±4.0"
"            $75,000 to $99,999","4,940","±849","4,262","±756","86.3%","±5.8","678","±318","13.7%","±5.8"
"            $100,000 and over","27,816","±1,187","27,318","±1,164","98.2%","±0.8","498","±220","1.8%","±0.8"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","45,476","±378","42,704","±553","93.9%","±1.0","2,772","±480","6.1%","±1.0"
"            Below 138 percent of the poverty threshold","4,316","±688","3,408","±591","79.0%","±5.5","908","±280","21.0%","±5.5"
"            138 to 399 percent of the poverty threshold","10,481","±1,031","9,207","±911","87.8%","±3.7","1,274","±430","12.2%","±3.7"
"            At or above 400 percent of the poverty threshold","30,679","±1,152","30,089","±1,126","98.1%","±0.7","590","±228","1.9%","±0.7"
"            Below 100 percent of the poverty threshold","3,148","±568","2,416","±475","76.7%","±6.5","732","±247","23.3%","±6.5"
