"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"Civilian noninstitutionalized population","49,611","±119","47,378","±482","95.5%","±0.9","2,233","±461","4.5%","±0.9"
"    AGE","","","","","","","","","",""
"        Under 6 years","3,355","±579","3,268","±572","97.4%","±2.6","87","±87","2.6%","±2.6"
"        6 to 18 years","8,011","±659","7,744","±647","96.7%","±1.5","267","±124","3.3%","±1.5"
"        19 to 25 years","6,095","±779","5,428","±814","89.1%","±3.8","667","±213","10.9%","±3.8"
"        26 to 34 years","4,917","±739","4,650","±711","94.6%","±2.1","267","±109","5.4%","±2.1"
"        35 to 44 years","5,320","±608","4,989","±623","93.8%","±2.6","331","±131","6.2%","±2.6"
"        45 to 54 years","5,815","±638","5,650","±641","97.2%","±1.4","165","±81","2.8%","±1.4"
"        55 to 64 years","6,832","±693","6,399","±667","93.7%","±2.9","433","±203","6.3%","±2.9"
"        65 to 74 years","4,817","±572","4,809","±573","99.8%","±0.3","8","±14","0.2%","±0.3"
"        75 years and older","4,449","±580","4,441","±579","99.8%","±0.3","8","±12","0.2%","±0.3"
"        Under 19 years","11,366","±831","11,012","±825","96.9%","±1.3","354","±150","3.1%","±1.3"
"        19 to 64 years","28,979","±946","27,116","±1,027","93.6%","±1.5","1,863","±426","6.4%","±1.5"
"        65 years and older","9,266","±785","9,250","±785","99.8%","±0.2","16","±18","0.2%","±0.2"
"    SEX","","","","","","","","","",""
"        Male","22,985","±898","21,834","±811","95.0%","±1.4","1,151","±341","5.0%","±1.4"
"        Female","26,626","±891","25,544","±951","95.9%","±1.0","1,082","±269","4.1%","±1.0"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
