"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"        White alone","22,928","±1,193","22,128","±1,236","96.5%","±1.0","800","±225","3.5%","±1.0"
"        Black or African American alone","2,029","±487","1,777","±470","87.6%","±6.2","252","±128","12.4%","±6.2"
"        American Indian and Alaska Native alone","39","±54","39","±54","100.0%","±60.4","0","±32","0.0%","±60.4"
"        Asian alone","1,624","±416","1,588","±410","97.8%","±2.5","36","±42","2.2%","±2.5"
"        Native Hawaiian and Other Pacific Islander alone","0","±32","0","±32","-","**","0","±32","-","**"
"        Some other race alone","2,176","±520","2,005","±482","92.1%","±4.6","171","±112","7.9%","±4.6"
"        Two or more races","20,815","±1,149","19,841","±1,089","95.3%","±1.7","974","±373","4.7%","±1.7"
"        Hispanic or Latino (of any race)","28,050","±1,274","26,672","±1,272","95.1%","±1.5","1,378","±431","4.9%","±1.5"
"        White alone, not Hispanic or Latino","16,088","±1,182","15,578","±1,182","96.8%","±1.3","510","±207","3.2%","±1.3"
"    LIVING ARRANGEMENTS","","","","","","","","","",""
"        In family households","34,311","±951","33,000","±950","96.2%","±1.1","1,311","±375","3.8%","±1.1"
"            In married couple families","28,252","±1,291","27,712","±1,252","98.1%","±0.7","540","±212","1.9%","±0.7"
"            In other families","6,059","±1,019","5,288","±882","87.3%","±5.1","771","±353","12.7%","±5.1"
"                Male reference person, no spouse present","2,286","±806","1,827","±626","79.9%","±10.2","459","±310","20.1%","±10.2"
"                Female reference person, no spouse present","3,773","±791","3,461","±754","91.7%","±4.0","312","±156","8.3%","±4.0"
"        In non-family households and other living arrangements","15,300","±930","14,378","±929","94.0%","±1.7","922","±258","6.0%","±1.7"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","",""
"        Native born","30,951","±1,167","29,575","±1,217","95.6%","±1.1","1,376","±349","4.4%","±1.1"
"        Foreign born","18,660","±1,153","17,803","±1,127","95.4%","±1.7","857","±318","4.6%","±1.7"
"            Naturalized","12,558","±827","12,241","±823","97.5%","±1.0","317","±132","2.5%","±1.0"
"            Not a citizen","6,102","±760","5,562","±726","91.2%","±4.6","540","±288","8.8%","±4.6"
"    DISABILITY STATUS","","","","","","","","","",""
"        With a disability","3,712","±519","3,571","±514","96.2%","±2.4","141","±90","3.8%","±2.4"
"        No disability","45,899","±548","43,807","±718","95.4%","±1.0","2,092","±447","4.6%","±1.0"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","32,150","±889","30,938","±857","96.2%","±0.9","1,212","±308","3.8%","±0.9"
"            Less than high school graduate","923","±243","788","±227","85.4%","±8.6","135","±85","14.6%","±8.6"
"            High school graduate (includes equivalency)","3,024","±496","2,780","±485","91.9%","±4.4","244","±136","8.1%","±4.4"
"            Some college or associate's degree","4,451","±595","4,293","±587","96.5%","±1.9","158","±87","3.5%","±1.9"
"            Bachelor's degree or higher","23,752","±953","23,077","±949","97.2%","±1.0","675","±236","2.8%","±1.0"
"    EMPLOYMENT STATUS","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","28,979","±946","27,116","±1,027","93.6%","±1.5","1,863","±426","6.4%","±1.5"
"            In labor force","21,224","±962","20,229","±921","95.3%","±1.3","995","±277","4.7%","±1.3"
"                Employed","20,551","±943","19,699","±912","95.9%","±1.2","852","±262","4.1%","±1.2"
"                Unemployed","673","±162","530","±143","78.8%","±11.4","143","±86","21.2%","±11.4"
"            Not in labor force","7,755","±859","6,887","±848","88.8%","±4.0","868","±312","11.2%","±4.0"
"    WORK EXPERIENCE","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","28,979","±946","27,116","±1,027","93.6%","±1.5","1,863","±426","6.4%","±1.5"
"            Worked full-time, year round in the past 12 months","16,108","±851","15,562","±828","96.6%","±1.2","546","±194","3.4%","±1.2"
"            Worked less than full-time, year round in the past 12 months","6,274","±715","5,840","±703","93.1%","±2.8","434","±177","6.9%","±2.8"
"            Did not work","6,597","±792","5,714","±808","86.6%","±4.7","883","±306","13.4%","±4.7"
"    HOUSEHOLD INCOME (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"        Total household population","43,807","±332","42,093","±500","96.1%","±0.9","1,714","±395","3.9%","±0.9"
"            Under $25,000","4,069","±776","3,707","±782","91.1%","±6.6","362","±265","8.9%","±6.6"
"            $25,000 to $49,999","3,268","±662","2,937","±579","89.9%","±4.8","331","±186","10.1%","±4.8"
"            $50,000 to $74,999","3,418","±677","3,156","±612","92.3%","±4.8","262","±180","7.7%","±4.8"
"            $75,000 to $99,999","2,403","±515","2,261","±494","94.1%","±3.6","142","±89","5.9%","±3.6"
"            $100,000 and over","30,649","±1,178","30,032","±1,172","98.0%","±0.7","617","±214","2.0%","±0.7"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","43,813","±343","42,092","±497","96.1%","±0.9","1,721","±400","3.9%","±0.9"
"            Below 138 percent of the poverty threshold","5,057","±818","4,518","±805","89.3%","±5.5","539","±277","10.7%","±5.5"
"            138 to 399 percent of the poverty threshold","8,090","±872","7,437","±837","91.9%","±2.7","653","±232","8.1%","±2.7"
"            At or above 400 percent of the poverty threshold","30,666","±1,188","30,137","±1,187","98.3%","±0.7","529","±200","1.7%","±0.7"
"            Below 100 percent of the poverty threshold","4,114","±771","3,671","±741","89.2%","±6.6","443","±276","10.8%","±6.6"
