"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"Civilian noninstitutionalized population","50,897","±65","46,953","±631","92.3%","±1.2","3,944","±618","7.7%","±1.2"
"    AGE","","","","","","","","","",""
"        Under 6 years","3,057","±528","3,002","±514","98.2%","±1.7","55","±55","1.8%","±1.7"
"        6 to 18 years","8,195","±680","7,888","±645","96.3%","±1.8","307","±152","3.7%","±1.8"
"        19 to 25 years","6,369","±553","5,719","±529","89.8%","±3.4","650","±223","10.2%","±3.4"
"        26 to 34 years","4,951","±524","4,328","±489","87.4%","±4.0","623","±211","12.6%","±4.0"
"        35 to 44 years","6,289","±596","5,641","±557","89.7%","±3.0","648","±199","10.3%","±3.0"
"        45 to 54 years","6,887","±552","6,052","±466","87.9%","±4.8","835","±365","12.1%","±4.8"
"        55 to 64 years","6,370","±581","5,837","±557","91.6%","±3.0","533","±198","8.4%","±3.0"
"        65 to 74 years","4,610","±514","4,411","±507","95.7%","±2.4","199","±112","4.3%","±2.4"
"        75 years and older","4,169","±486","4,075","±471","97.7%","±2.1","94","±88","2.3%","±2.1"
"        Under 19 years","11,252","±737","10,890","±722","96.8%","±1.4","362","±163","3.2%","±1.4"
"        19 to 64 years","30,866","±691","27,577","±776","89.3%","±1.6","3,289","±504","10.7%","±1.6"
"        65 years and older","8,779","±654","8,486","±615","96.7%","±1.8","293","±162","3.3%","±1.8"
"    SEX","","","","","","","","","",""
"        Male","24,802","±678","22,799","±699","91.9%","±1.6","2,003","±400","8.1%","±1.6"
"        Female","26,095","±686","24,154","±754","92.6%","±1.5","1,941","±398","7.4%","±1.5"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        White alone","45,921","±1,031","42,694","±1,110","93.0%","±1.2","3,227","±556","7.0%","±1.2"
"        Black or African American alone","2,070","±863","1,832","±841","88.5%","±7.4","238","±138","11.5%","±7.4"
"        American Indian and Alaska Native alone","38","±38","38","±38","100.0%","±53.4","0","±31","0.0%","±53.4"
"        Asian alone","1,258","±331","1,113","±317","88.5%","±7.0","145","±91","11.5%","±7.0"
"        Native Hawaiian and Other Pacific Islander alone","7","±13","7","±13","100.0%","±100.0","0","±31","0.0%","±100.0"
"        Some other race alone","534","±199","378","±125","70.8%","±13.7","156","±111","29.2%","±13.7"
"        Two or more races","1,069","±310","891","±272","83.3%","±10.8","178","±132","16.7%","±10.8"
"        Hispanic or Latino (of any race)","29,729","±1,069","27,150","±998","91.3%","±1.7","2,579","±518","8.7%","±1.7"
"        White alone, not Hispanic or Latino","17,333","±1,025","16,481","±1,024","95.1%","±1.4","852","±244","4.9%","±1.4"
"    LIVING ARRANGEMENTS","","","","","","","","","",""
"        In family households","37,498","±930","34,944","±929","93.2%","±1.5","2,554","±575","6.8%","±1.5"
"            In married couple families","30,863","±1,223","29,221","±1,170","94.7%","±1.3","1,642","±411","5.3%","±1.3"
"            In other families","6,635","±1,063","5,723","±880","86.3%","±4.6","912","±374","13.7%","±4.6"
"                Male householder, no wife present","1,326","±494","1,178","±410","88.8%","±8.3","148","±138","11.2%","±8.3"
"                Female householder, no husband present","5,309","±968","4,545","±813","85.6%","±5.4","764","±350","14.4%","±5.4"
"        In non-family households and other living arrangements","13,399","±933","12,009","±854","89.6%","±2.0","1,390","±296","10.4%","±2.0"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","",""
"        Native born","31,318","±1,254","29,368","±1,316","93.8%","±1.6","1,950","±489","6.2%","±1.6"
