"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"        Foreign born","19,579","±1,251","17,585","±1,210","89.8%","±1.9","1,994","±383","10.2%","±1.9"
"            Naturalized","13,038","±875","12,344","±841","94.7%","±1.5","694","±201","5.3%","±1.5"
"            Not a citizen","6,541","±1,042","5,241","±994","80.1%","±5.0","1,300","±322","19.9%","±5.0"
"    DISABILITY STATUS","","","","","","","","","",""
"        With a disability","3,748","±473","3,565","±474","95.1%","±2.6","183","±96","4.9%","±2.6"
"        No disability","47,149","±478","43,388","±781","92.0%","±1.3","3,761","±587","8.0%","±1.3"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","33,276","±761","30,344","±787","91.2%","±1.4","2,932","±494","8.8%","±1.4"
"            Less than high school graduate","1,449","±294","1,265","±256","87.3%","±5.6","184","±95","12.7%","±5.6"
"            High school graduate (includes equivalency)","3,957","±537","2,991","±433","75.6%","±7.3","966","±346","24.4%","±7.3"
"            Some college or associate's degree","6,894","±587","6,071","±545","88.1%","±3.5","823","±259","11.9%","±3.5"
"            Bachelor's degree or higher","20,976","±917","20,017","±911","95.4%","±1.1","959","±244","4.6%","±1.1"
"    EMPLOYMENT STATUS","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","30,866","±691","27,577","±776","89.3%","±1.6","3,289","±504","10.7%","±1.6"
"            In labor force","23,215","±783","20,840","±786","89.8%","±1.9","2,375","±455","10.2%","±1.9"
"                Employed","22,447","±818","20,267","±805","90.3%","±1.9","2,180","±453","9.7%","±1.9"
"                Unemployed","768","±165","573","±137","74.6%","±10.7","195","±97","25.4%","±10.7"
"            Not in labor force","7,651","±578","6,737","±554","88.1%","±3.1","914","±251","11.9%","±3.1"
"    WORK EXPERIENCE","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","30,866","±691","27,577","±776","89.3%","±1.6","3,289","±504","10.7%","±1.6"
"            Worked full-time, year round in the past 12 months","16,640","±700","15,135","±630","91.0%","±2.3","1,505","±401","9.0%","±2.3"
"            Worked less than full-time, year round in the past 12 months","7,952","±705","7,080","±658","89.0%","±2.6","872","±223","11.0%","±2.6"
"            Did not work","6,274","±460","5,362","±419","85.5%","±3.8","912","±258","14.5%","±3.8"
"    HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"        Total household population","46,326","±336","42,809","±666","92.4%","±1.3","3,517","±599","7.6%","±1.3"
"            Under $25,000","3,990","±732","3,148","±584","78.9%","±6.9","842","±345","21.1%","±6.9"
"            $25,000 to $49,999","4,745","±807","3,999","±630","84.3%","±4.4","746","±284","15.7%","±4.4"
"            $50,000 to $74,999","5,018","±962","4,529","±874","90.3%","±3.8","489","±214","9.7%","±3.8"
"            $75,000 to $99,999","4,726","±762","4,169","±689","88.2%","±4.8","557","±251","11.8%","±4.8"
"            $100,000 and over","27,847","±1,292","26,964","±1,236","96.8%","±1.2","883","±347","3.2%","±1.2"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","46,386","±335","42,821","±668","92.3%","±1.3","3,565","±607","7.7%","±1.3"
"            Below 138 percent of the poverty threshold","4,682","±770","3,646","±651","77.9%","±6.3","1,036","±348","22.1%","±6.3"
"            138 to 399 percent of the poverty threshold","10,538","±1,145","9,095","±1,024","86.3%","±3.7","1,443","±433","13.7%","±3.7"
"            At or above 400 percent of the poverty threshold","31,166","±1,280","30,080","±1,285","96.5%","±1.1","1,086","±360","3.5%","±1.1"
"            Below 100 percent of the poverty threshold","3,493","±682","2,681","±565","76.8%","±8.2","812","±343","23.2%","±8.2"
