"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"Civilian noninstitutionalized population","50,520","±61","46,127","±559","91.3%","±1.1","4,393","±568","8.7%","±1.1"
"AGE","","","","","","","","","",""
"    Under 18 years","9,140","±667","8,911","±698","97.5%","±1.3","229","±114","2.5%","±1.3"
"        Under 6 years","2,920","±516","2,867","±515","98.2%","±1.8","53","±51","1.8%","±1.8"
"        6 to 17 years","6,220","±546","6,044","±572","97.2%","±1.7","176","±102","2.8%","±1.7"
"    18 to 64 years","32,266","±619","28,403","±716","88.0%","±1.7","3,863","±559","12.0%","±1.7"
"        18 to 24 years","7,452","±541","6,816","±502","91.5%","±2.6","636","±205","8.5%","±2.6"
"        25 to 34 years","5,457","±544","4,513","±477","82.7%","±5.2","944","±315","17.3%","±5.2"
"        35 to 44 years","6,199","±575","5,388","±530","86.9%","±4.0","811","±268","13.1%","±4.0"
"        45 to 54 years","7,112","±627","6,171","±566","86.8%","±3.3","941","±261","13.2%","±3.3"
"        55 to 64 years","6,046","±506","5,515","±480","91.2%","±2.9","531","±187","8.8%","±2.9"
"    65 years and older","9,114","±624","8,813","±593","96.7%","±1.8","301","±164","3.3%","±1.8"
"        65 to 74 years","4,929","±539","4,719","±523","95.7%","±2.5","210","±127","4.3%","±2.5"
"        75 years and older","4,185","±429","4,094","±417","97.8%","±1.9","91","±82","2.2%","±1.9"
"19 to 25 years","6,421","±570","5,770","±553","89.9%","±2.8","651","±187","10.1%","±2.8"
"SEX","","","","","","","","","",""
"    Male","24,500","±615","22,350","±611","91.2%","±1.5","2,150","±387","8.8%","±1.5"
"    Female","26,020","±615","23,777","±700","91.4%","±1.4","2,243","±376","8.6%","±1.4"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"    White alone","46,086","±914","42,277","±976","91.7%","±1.2","3,809","±544","8.3%","±1.2"
"    Black or African American alone","1,737","±746","1,546","±750","89.0%","±9.0","191","±128","11.0%","±9.0"
"    American Indian and Alaska Native alone","33","±37","33","±37","100.0%","±57.3","0","±31","0.0%","±57.3"
"    Asian alone","1,188","±327","1,042","±291","87.7%","±7.7","146","±103","12.3%","±7.7"
"    Native Hawaiian and Other Pacific Islander alone","6","±13","6","±13","100.0%","±100.0","0","±31","0.0%","±100.0"
"    Some other race alone","464","±160","339","±131","73.1%","±14.3","125","±80","26.9%","±14.3"
"    Two or more races","1,006","±276","884","±261","87.9%","±9.2","122","±98","12.1%","±9.2"
"Hispanic or Latino (of any race)","28,556","±1,004","25,626","±1,003","89.7%","±1.6","2,930","±472","10.3%","±1.6"
"White alone, not Hispanic or Latino","18,480","±932","17,430","±946","94.3%","±1.6","1,050","±299","5.7%","±1.6"
"LIVING ARRANGEMENTS","","","","","","","","","",""
"    In family households","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        In married couple families","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        In other families","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Male householder, no wife present","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    In non-family households and other living arrangements","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","",""
"    Native born","30,863","±977","28,806","±971","93.3%","±1.5","2,057","±460","6.7%","±1.5"
